Date,CFR SW Equity - 3 Month 100% Moneyness Implied Volatility
2024-10-25,
2024-10-24,31.6005
2024-10-23,31.3139
2024-10-22,30.989
2024-10-21,31.1486
2024-10-18,28.9419
2024-10-17,29.2738
2024-10-16,29.4148
2024-10-15,30.2026
2024-10-14,29.3137
2024-10-11,22.9072
2024-10-10,23.9486
2024-10-09,29.7944
2024-10-08,29.4677
2024-10-07,29.4757
2024-10-04,20.88
2024-10-03,23.9832
2024-10-02,29.8306
2024-10-01,24.595
2024-09-30,28.5157
2024-09-27,27.9224
2024-09-26,29.043
2024-09-25,27.6262
2024-09-24,27.6939
2024-09-23,27.6643
2024-09-20,27.8948
2024-09-19,27.1802
2024-09-18,27.5263
2024-09-17,27.9371
2024-09-16,28.0924
2024-09-13,28.2113
2024-09-12,28.5086
2024-09-11,28.9237
2024-09-10,28.9915
2024-09-09,29.1272
2024-09-06,29.6674
2024-09-05,28.2719
2024-09-04,28.6345
2024-09-03,26.7967
2024-09-02,26.5585
2024-08-30,26.2334
2024-08-29,26.7435
2024-08-28,26.8228
2024-08-27,26.3482
2024-08-26,26.4626
2024-08-23,26.3374
2024-08-22,24.7235
2024-08-21,26.3472
2024-08-20,26.5995
2024-08-19,24.3701
2024-08-16,24.3237
2024-08-15,24.1672
2024-08-14,24.4223
2024-08-13,26.0482
2024-08-12,23.8795
2024-08-09,25.3093
2024-08-08,25.4266
2024-08-07,25.3407
2024-08-06,26.8975
2024-08-05,26.9737
2024-08-02,25.4086
2024-07-31,23.8223
2024-07-30,24.1266
2024-07-29,23.81
2024-07-26,22.7266
2024-07-25,23.415
2024-07-24,23.0064
2024-07-23,22.5344
2024-07-22,22.5758
2024-07-19,24.0108
2024-07-18,24.1538
2024-07-17,23.4764
2024-07-16,23.5641
2024-07-15,24.5532
2024-07-12,25.8504
2024-07-11,25.2574
2024-07-10,26.1238
2024-07-09,25.2235
2024-07-08,27.3638
2024-07-05,25.4972
2024-07-04,25.6208
2024-07-03,25.1055
2024-07-02,24.8122
2024-07-01,31.5104
2024-06-28,25.5172
2024-06-27,25.1295
2024-06-26,25.3011
2024-06-25,24.5082
2024-06-24,24.482
2024-06-21,25.9453
2024-06-20,25.1758
2024-06-19,25.5122
2024-06-18,25.7794
2024-06-17,26.4716
2024-06-14,27.7213
2024-06-13,26.492
2024-06-12,26.4907
2024-06-11,26.6249
2024-06-10,25.0683
2024-06-07,24.1222
2024-06-06,24.3547
2024-06-05,24.4267
2024-06-04,24.7275
2024-06-03,24.6197
2024-05-31,24.4337
2024-05-30,25.0286
2024-05-29,24.8938
2024-05-28,24.9008
2024-05-27,24.631
2024-05-24,24.7546
2024-05-23,24.633
2024-05-22,24.865
2024-05-21,24.6993
2024-05-17,24.7224
2024-05-16,28.4221
2024-05-15,28.8939
2024-05-14,28.9281
2024-05-13,29.3413
2024-05-10,29.4416
2024-05-08,28.6668
2024-05-07,28.7824
2024-05-06,28.5398
2024-05-03,29.0781
2024-05-02,29.4414
2024-04-30,29.6643
2024-04-29,30.1414
2024-04-26,30.2479
2024-04-25,31.2838
2024-04-24,30.3528
2024-04-23,30.3537
2024-04-22,29.9342
2024-04-19,30.7302
2024-04-18,30.4785
2024-04-17,30.2805
2024-04-16,32.06
2024-04-15,31.9963
2024-04-12,30.5749
2024-04-11,30.602
2024-04-10,30.0206
2024-04-09,29.6426
2024-04-08,29.8479
2024-04-05,29.8928
2024-04-04,29.2248
2024-04-03,29.0244
2024-04-02,29.0572
2024-03-28,29.4593
2024-03-27,29.2941
2024-03-26,29.3537
2024-03-25,29.5337
2024-03-22,29.0711
2024-03-21,28.6149
2024-03-20,29.0552
2024-03-19,27.7004
2024-03-18,27.1727
2024-03-15,27.8786
2024-03-14,27.7365
2024-03-13,27.4403
2024-03-12,27.6265
2024-03-11,28.1954
2024-03-08,27.4281
2024-03-07,27.675
2024-03-06,27.99
2024-03-05,28.3476
2024-03-04,28.2481
2024-03-01,28.0479
2024-02-29,28.4314
2024-02-28,27.1154
2024-02-27,28.1078
2024-02-26,28.0616
2024-02-23,28.1068
2024-02-22,27.7429
2024-02-21,28.5598
2024-02-20,27.5744
2024-02-19,27.1532
2024-02-16,26.5329
2024-02-15,26.4745
2024-02-14,27.1219
2024-02-13,27.669
2024-02-12,27.3666
2024-02-09,27.0778
2024-02-08,27.12
2024-02-07,27.3255
2024-02-06,26.5861
2024-02-05,26.725
2024-02-02,25.9363
2024-02-01,26.3704
2024-01-31,26.1604
2024-01-30,26.1729
2024-01-29,25.5351
2024-01-26,25.1589
2024-01-25,25.2226
2024-01-24,25.5687
2024-01-23,25.815
2024-01-22,24.8685
2024-01-19,27.207
2024-01-18,26.0605
2024-01-17,28.9632
2024-01-16,27.7113
2024-01-15,27.6874
2024-01-12,27.8636
2024-01-11,27.5545
2024-01-10,27.6068
2024-01-09,27.6846
2024-01-08,27.5791
2024-01-05,28.1255
2024-01-04,28.0323
2024-01-03,28.5541
2023-12-29,27.5449
2023-12-28,27.9706
2023-12-27,28.0477
2023-12-22,27.835
2023-12-21,27.4765
2023-12-20,26.8081
2023-12-19,27.1243
2023-12-18,27.1939
2023-12-15,26.8777
2023-12-14,27.7812
2023-12-13,27.3961
2023-12-12,27.3022
2023-12-11,27.5516
2023-12-08,27.11
2023-12-07,27.4176
2023-12-06,27.5421
2023-12-05,27.6352
2023-12-04,27.682
2023-12-01,27.4745
2023-11-30,27.5666
2023-11-29,27.3513
2023-11-28,27.2362
2023-11-27,27.0775
2023-11-24,27.0631
2023-11-23,26.9901
2023-11-22,26.6419
2023-11-21,27.2141
2023-11-20,26.8477
2023-11-17,27.3129
2023-11-16,27.523
2023-11-15,27.5556
2023-11-14,27.1952
2023-11-13,28.1442
2023-11-10,28.2425
2023-11-09,32.3265
2023-11-08,31.7284
2023-11-07,32.0021
2023-11-06,31.463
2023-11-03,32.1366
2023-11-02,32.2654
2023-11-01,32.6599
2023-10-31,32.7788
2023-10-30,33.1531
2023-10-27,33.4355
2023-10-26,33.5406
2023-10-25,33.0793
