maturity,strike,price,IV
2024-09-20,234,49.5749969482422,33.9940986633301
2024-09-20,235,48.5749969482422,33.3267974853516
2024-09-20,236,47.5749969482422,32.660213470459
2024-09-20,238,45.5999984741211,31.9165554046631
2024-09-20,240,43.6249923706055,31.1145572662354
2024-09-20,242,41.650001525878906,30.2572574615479
2024-09-20,245,38.6749954223633,28.6679077148438
2024-09-20,250,33.799995422363295,27.051643371582
2024-09-20,255,28.9499969482422,25.1429042816162
2024-09-20,260,24.125,22.9234867095947
2024-09-20,265,19.5499877929688,21.7553195953369
2024-09-20,270,15.25,20.8073711395264
2024-09-20,275,11.349999904632586,20.0309238433838
2024-09-20,280,8.049999713897705,19.6088333129883
2024-09-20,285,6.549999713897705,22.9405345916748
2024-09-20,290,3.549999713897705,19.5875377655029
2024-09-20,295,2.829999923706055,22.1333198547363
2024-09-20,300,1.4699996747076487,20.6426067352295
2024-09-20,305,1.4699996747076487,24.3781929016113
2024-09-20,310,1.4699996747076487,27.8948860168457
2024-09-20,315,1.4699996747076487,31.2394943237305
2024-09-20,320,1.5099996365606787,34.6955184936523
2024-09-20,325,2.0049999989569187,40.9038391113281
2024-09-20,330,2.0049999989569187,44.0109367370605
2024-09-20,335,2.0049999989569187,47.0107345581055
2024-09-20,200,83.17499923706055,57.9637031555176
2024-09-20,210,73.35000228881836,55.2665710449219
2024-09-20,220,63.350000381469755,47.6673965454102
2024-09-20,230,53.5500011444092,43.5770683288574
2024-09-20,240,43.6500015258789,37.2469482421875
2024-09-20,245,38.6500015258789,33.4338760375977
2024-09-20,250,33.600000381469755,29.1241397857666
2024-09-20,255,28.80000019073485,27.16357421875
2024-09-20,260,23.17500019073485,16.8544788360596
2024-09-20,265,19.40000057220455,22.8625659942627
2024-09-20,270,15.1749997138977,21.8806324005127
2024-09-20,275,11.0,19.7887935638428
2024-09-20,280,7.949999809265135,20.0500907897949
2024-09-20,285,5.399999856948855,19.9073524475098
2024-09-20,290,3.460000038146975,19.7505950927734
2024-09-20,295,2.199999928474425,20.0734786987305
2024-09-20,300,1.3250000178813914,20.2482089996338
2024-09-20,305,0.825000017881393,20.8261108398438
2024-09-20,310,0.5149999903514962,21.4531879425049
2024-09-20,315,0.525000000372529,24.3970947265625
2024-09-20,320,0.525000000372529,27.1358871459961
2024-09-20,330,0.5,37.0968322753906
2024-09-20,340,0.5,42.4232025146484
2024-09-20,350,0.5,47.4504890441895
2024-09-20,360,0.5,52.2215766906738
2024-10-18,215,68.6750030517578,39.9911613464355
2024-10-18,220,63.7250061035156,37.6401252746582
2024-10-18,225,58.7749938964844,35.2638969421387
2024-10-18,230,53.875,33.2908554077148
2024-10-18,235,48.9499969482422,31.0172290802002
2024-10-18,240,44.0500030517578,28.8517589569092
2024-10-18,245,39.1750030517578,26.738639831543
2024-10-18,250,34.3500061035156,24.7591991424561
2024-10-18,255,29.649993896484403,23.1542282104492
2024-10-18,260,25.075004577636697,21.6934623718262
2024-10-18,265,20.7749938964844,20.6837768554688
2024-10-18,270,16.8249893188477,20.0023212432861
2024-10-18,275,13.25,19.439302444458
2024-10-18,280,9.999999999999986,18.7132453918457
2024-10-18,285,7.575000286102295,18.8344440460205
2024-10-18,290,5.325000286102295,18.2974338531494
2024-10-18,295,3.924999713897705,18.7312660217285
2024-10-18,300,2.72500038146973,18.7529850006104
2024-10-18,305,1.86500024795532,18.856954574585
2024-10-18,310,1.1250001788139325,18.4048404693604
2024-10-18,315,0.8950000107288361,19.481803894043
2024-10-18,320,0.6699999868869785,20.1785736083984
2024-10-18,325,0.5299999713897705,21.0556182861328
2024-10-18,330,0.4300000071525575,21.965353012085
2024-10-18,335,0.3549999594688415,22.8759498596191
