Date,ROG SW Equity - 3 Month 100% Moneyness Implied Volatility
2024-10-25,
2024-10-24,17.7883
2024-10-23,17.6974
2024-10-22,18.2963
2024-10-21,17.7575
2024-10-18,18.5418
2024-10-17,18.8409
2024-10-16,19.3541
2024-10-15,19.1387
2024-10-14,19.1383
2024-10-11,19.5736
2024-10-10,19.4709
2024-10-09,19.2689
2024-10-08,19.5025
2024-10-07,19.343
2024-10-04,19.5666
2024-10-03,18.9234
2024-10-02,18.5011
2024-10-01,19.2184
2024-09-30,18.8814
2024-09-27,18.6339
2024-09-26,18.4196
2024-09-25,18.0718
2024-09-24,18.2368
2024-09-23,17.9039
2024-09-20,18.3936
2024-09-19,18.1823
2024-09-18,18.7208
2024-09-17,18.6938
2024-09-16,19.3655
2024-09-13,19.3169
2024-09-12,19.8826
2024-09-11,21.0068
2024-09-10,21.0492
2024-09-09,20.6618
2024-09-06,21.6104
2024-09-05,20.9684
2024-09-04,21.1786
2024-09-03,20.5458
2024-09-02,19.9953
2024-08-30,20.1556
2024-08-29,19.8166
2024-08-28,19.8526
2024-08-27,19.7014
2024-08-26,19.057
2024-08-23,20.0153
2024-08-22,20.3099
2024-08-21,19.2464
2024-08-20,19.831
2024-08-19,19.9318
2024-08-16,19.0232
2024-08-15,19.61
2024-08-14,19.4064
2024-08-13,19.6514
2024-08-12,20.2066
2024-08-09,20.3472
2024-08-08,20.7052
2024-08-07,20.1926
2024-08-06,20.4533
2024-08-05,20.5117
2024-08-02,19.105
2024-07-31,18.536
2024-07-30,18.8904
2024-07-29,18.3683
2024-07-26,19.3426
2024-07-25,18.2666
2024-07-24,19.0605
2024-07-23,18.983
2024-07-22,18.7335
2024-07-19,19.2541
2024-07-18,19.1876
2024-07-17,19.5897
2024-07-16,18.592
2024-07-15,18.588
2024-07-12,18.5904
2024-07-11,18.4517
2024-07-10,18.7362
2024-07-09,18.4639
2024-07-08,18.1282
2024-07-05,18.006
2024-07-04,17.7415
2024-07-03,17.1412
2024-07-02,17.4554
2024-07-01,16.8456
2024-06-28,17.423
2024-06-27,17.0362
2024-06-26,17.2475
2024-06-25,17.3043
2024-06-24,16.8952
2024-06-21,17.2418
2024-06-20,16.1641
2024-06-19,17.1922
2024-06-18,18.8001
2024-06-17,17.8229
2024-06-14,17.6603
2024-06-13,17.2985
2024-06-12,17.7669
2024-06-11,17.4389
2024-06-10,17.5345
2024-06-07,17.6303
2024-06-06,16.9969
2024-06-05,17.0741
2024-06-04,17.308
2024-06-03,16.8085
2024-05-31,17.5449
2024-05-30,16.9619
2024-05-29,17.2088
2024-05-28,17.0144
2024-05-27,17.205
2024-05-24,16.9364
2024-05-23,16.9812
2024-05-22,16.988
2024-05-21,17.4375
2024-05-17,17.3725
2024-05-16,17.5512
2024-05-15,17.1236
2024-05-14,17.7278
2024-05-13,17.4061
2024-05-10,17.5002
2024-05-08,16.99
2024-05-07,16.4069
2024-05-06,16.938
2024-05-03,16.7516
2024-05-02,16.8691
2024-04-30,16.1221
2024-04-29,15.7727
2024-04-26,16.4341
2024-04-25,16.88
2024-04-24,16.397
2024-04-23,17.6273
2024-04-22,17.068
2024-04-19,17.6214
2024-04-18,17.8136
2024-04-17,16.8531
2024-04-16,17.9711
2024-04-15,17.968
2024-04-12,17.6595
2024-04-11,17.3177
2024-04-10,16.8623
2024-04-09,17.4053
2024-04-08,13.0932
2024-04-05,17.7338
2024-04-04,16.6998
2024-04-03,16.512
2024-04-02,17.047
2024-03-28,16.1336
2024-03-27,16.2346
2024-03-26,16.1662
2024-03-25,16.1877
2024-03-22,16.3951
2024-03-21,16.2324
2024-03-20,15.3376
2024-03-19,15.7688
2024-03-18,15.8292
2024-03-15,16.2948
2024-03-14,17.1193
2024-03-13,17.0799
2024-03-12,16.8637
2024-03-11,16.908
2024-03-08,17.8043
2024-03-07,16.7895
2024-03-06,16.5353
2024-03-05,15.929
2024-03-04,16.5933
2024-03-01,17.0129
2024-02-29,16.9037
2024-02-28,16.4752
2024-02-27,16.5435
2024-02-26,16.9756
2024-02-23,16.3894
2024-02-22,16.9472
2024-02-21,17.2267
2024-02-20,17.2061
2024-02-19,17.5448
2024-02-16,17.1422
2024-02-15,17.3353
2024-02-14,17.7778
2024-02-13,17.4903
2024-02-12,17.5643
2024-02-09,17.139
2024-02-08,17.5013
2024-02-07,17.4223
2024-02-06,18.1436
2024-02-05,17.6582
2024-02-02,16.7487
2024-02-01,17.5285
2024-01-31,17.9693
2024-01-30,18.2789
2024-01-29,17.9734
2024-01-26,18.647
2024-01-25,17.1325
2024-01-24,16.9345
2024-01-23,16.6065
2024-01-22,16.9903
2024-01-19,16.8093
2024-01-18,17.2125
2024-01-17,17.2372
2024-01-16,17.1424
2024-01-15,17.1497
2024-01-12,16.9516
2024-01-11,17.2272
2024-01-10,17.1207
2024-01-09,17.3357
2024-01-08,17.734
2024-01-05,18.1915
2024-01-04,17.6221
2024-01-03,17.7505
2023-12-29,15.7273
2023-12-28,16.1789
2023-12-27,16.6557
2023-12-22,15.9099
2023-12-21,15.7763
2023-12-20,17.2167
2023-12-19,16.5848
2023-12-18,19.2893
2023-12-15,18.1584
2023-12-14,18.682
2023-12-13,17.1547
2023-12-12,16.3808
2023-12-11,16.3194
2023-12-08,15.9985
2023-12-07,15.9285
2023-12-06,15.6966
2023-12-05,16.1426
2023-12-04,15.5559
2023-12-01,14.8932
2023-11-30,15.1185
2023-11-29,15.3082
2023-11-28,15.4009
2023-11-27,15.2777
2023-11-24,16.3959
2023-11-23,15.6066
2023-11-22,15.6125
2023-11-21,16.2662
2023-11-20,15.9146
2023-11-17,15.5836
2023-11-16,16.8093
2023-11-15,15.8952
2023-11-14,16.0417
2023-11-13,16.327
2023-11-10,16.7322
2023-11-09,16.3956
2023-11-08,16.5541
2023-11-07,16.6332
2023-11-06,16.8661
2023-11-03,17.6902
2023-11-02,18.3369
2023-11-01,18.3333
2023-10-31,19.2518
2023-10-30,19.3503
2023-10-27,19.6028
2023-10-26,17.9504
2023-10-25,17.6858
